qid,Len,P1,P2
Q36,"Officials and employees, Alien",Q14,Q2
Q37,Albinos and albinism,Q14,Q2
Q38,"Aleuts--Evacuation and relocation, 1942-1945",Q14,Q2
,Alien property (Greek law),Q14,Q2
,Aliens (Greek law),Q14,Q2
,Aliens (Islamic law),Q14,Q2
,Aliens (Jewish law),Q14,Q2
,Aliens (Roman law),Q14,Q2
,Aliens in art,Q14,Q2
,Aliens in literature,Q14,Q2
,Aliens in mass media,Q14,Q2
,Aliens in motion pictures,Q14,Q2
,Antifa (Organisation),Q14,Q2
,"Argentina--History--Dirty War, 1976-1983",Q14,Q2
,Blacks,Q14,Q2
,Bossiness,Q14,Q2
,Brothers and sisters,Q14,Q2
,Children of egg donors,Q14,Q2
,Children of foreign workers (was Children of alien laborers),Q14,Q2
,Children of illegal aliens,Q14,Q2
,Children of sperm donors,Q14,Q2
,Church work with aliens,Q14,Q2
,Criminals,Q14,Q2
,Defloration,Q14,Q2
,Discovery and exploration,Q14,Q2
,Dwarfs (Persons),Q14,Q2
,Eskimos,Q14,Q2
,Fetishism,Q14,Q2
,Foreign worker certification (was Alien labor certification),Q14,Q2
,Foreign workers (was Alien labor),Q14,Q2
,Foreign workers' families (was Alien laborers' families),Q14,Q2
,Fugitive slaves,Q14,Q2
,Gays,Q14,Q2
,Gender-nonconforming people,Q14,Q2
,"German Americans--Evacuation and relocation, 1941-1948",Q14,Q2
,Hearing impaired,Q14,Q2
,Hearing impaired infants,Q14,Q2
,Hispanic Americans,Q14,Q2
,Homeless persons,Q14,Q2
,Husband and wife,Q14,Q2
,Illegal alien children,Q14,Q2
,Illegal aliens,Q14,Q2
,Illegal aliens in literature,Q14,Q2
,Indians of North America,Q14,Q2
,Inmates of institutions,Q14,Q2
,Invalids,Q14,Q2
,"Italian Americans--Evacuation and relocation, 1942",Q14,Q2
,"Japanese Americans--Evacuation and relocation, 1942-1945",Q14,Q2
,Juvenile delinquents,Q14,Q2
,Kings and rulers,Q14,Q2
,Noble savage,Q14,Q2
,Oriental literature,Q14,Q2
,Orientalism,Q14,Q2
,Parolees,Q14,Q2
,Poor,Q14,Q2
,Popular music--South Korea--2011-2020,Q14,Q2
,Primitive societies,Q14,Q2
,Prisoners,Q14,Q2
,Prisoners--Sexual behavior,Q14,Q2
,Problem children,Q14,Q2
,Race,Q14,Q2
,Race relations,Q14,Q2
,Race riots,Q14,Q2
,Racially mixed people,Q14,Q2
,Sexual minorities,Q14,Q2
,Sexual minorities with disabilities.,Q14,Q2
,Sexual reorientation programs,Q14,Q2
,Slavery,Q14,Q2
,Slaves,Q14,Q2
,Tramps,Q14,Q2
,Unskilled labor,Q14,Q2
,Victims,Q14,Q2
,Women foreign workers (was Women alien labor),Q14,Q2
,Women illegal aliens,Q14,Q2
,Word recognition,Q14,Q2
,Alien detention centers,Q14,Q2
,American poetry--Indian authors,Q14,Q2
,Slaveholders,Q14,Q2
,African American universities and colleges,Q14,Q2
,Hearing impaired children,Q14,Q2
,Alien property,Q14,Q2
,Aliens,Q14,Q2
,Alien criminals,Q14,Q2